name,state,par_mean,par_median
Delaware Valley College Of Science & Agriculture,PA,113197.3328471123,90700
Delgado Community College,LA,58689.42018552608,43800
Delta College,MI,83777.15743274345,75800
Delta State University,MS,79019.6796875,71000
Denison University,OH,271317.6187792251,149300
Depaul University,IL,188629.9127935736,99900
Des Moines Area Community College,IA,82641.01052466556,72600
"Devry University, Devry Institute Of Technology And Denver Technical College",IL,70434.77290670064,56300
Dickinson College,PA,279506.933543207,136600
Dickinson State University,ND,65513.14382516399,57800
Digipen Institute Of Technology,WA,117772.3567708333,95200
Dillard University,LA,55132.93277948943,42600
Dixie State University,UT,98070.6391632572,76900
Doane College,NE,102872.5711036393,76600
Dodge City Community College,KS,58319.43880208334,48000
Dominican College Of Blauvelt,NY,96784.109375,88900
Dominican University,IL,104994.0623697917,87300
Dominican University Of California,CA,163987.1190034806,98100
Dordt College,IA,105026.3014720933,80500
Dorsey School Of Business,MI,57263.88802083334,43400
Douglas J Aveda Institute,MI,101865.8567708333,93600
Dowling College,NY,95406.83612689392,71500
Drake University,IA,175198.4807674051,109600
Drew University,NJ,253466.6251533366,140400
Drury University,MO,107483.5262626662,74400
Duke University,NC,517631.5868958333,196000
Dunwoody College Of Technology,MN,126602.882394802,89100
Duquesne University Of The Holy Spirit,PA,147170.5604751418,104000
Durham Technical Community College,NC,73778.08322725033,59700
Dutchess Community College,NY,88697.6316494544,82900
Dyersburg State Community College,TN,64790.94408865344,55200
ETI School Of Skilled Trades,IL,86786.75,63100
Earlham College,IN,156866.53125,99100
East Arkansas Community College,AR,50165.03537020736,36100
East Carolina University,NC,120568.6081747972,96000
East Central College,MO,77419.01037376441,68000
East Central Community College,MS,60647.609375,41600
East Georgia State College,GA,67453.67732211079,57600
East Mississippi Community College,MS,59939.10206892173,44900
East Stroudsburg University Of Pennsylvania,PA,100663.2458818672,85700
East Tennessee State University,TN,92165.1231222556,75600
East Texas Baptist University,TX,82426.97435650432,72500
Eastern Arizona College,AZ,65886.76933321088,60900
Eastern College Of Health Vocations,AR,39767.47219187063,29300
Eastern Connecticut State University,CT,107254.1607493794,94900
Eastern Florida State College,FL,76959.22587600234,65300
Eastern Gateway Community College,OH,62850.77196505063,58100
Eastern Idaho Technical College,ID,69364.40625,59900
Eastern Illinois University,IL,113245.7419141172,100100
Eastern Iowa Community College District,IA,82501.26661445702,75600
Eastern Kentucky University,KY,81068.46966135358,69700
Eastern Mennonite University,VA,109883.7291666667,90700
Eastern Michigan University,MI,112188.35461088,98400
Eastern Nazarene College,MA,96446.74107142857,81600
Eastern New Mexico University,NM,59703.11170700991,47200
Eastern Oklahoma State College,OK,58649.67644838484,45500
Eastern Oregon University,OR,88624.77360551075,74600
Eastern Shore Community College,VA,48420.4872469473,35800
Eastern University,PA,138814.893048251,93900
Eastern Washington University,WA,103225.9917056718,85900
Eastern Wyoming College,WY,62977.82997332317,54500
